date,eur_ron
2012-01-25,4.3463
2012-01-26,4.336
2012-01-27,4.3459
2012-01-28,4.3459
2012-01-29,4.3459
2012-01-30,4.3392
2012-01-31,4.3465
2012-02-01,4.3495
2012-02-02,4.3476
2012-02-03,4.3378
2012-02-04,4.3378
2012-02-05,4.3378
2012-02-06,4.3405
2012-02-07,4.355
2012-02-08,4.353
2012-02-09,4.3516
2012-02-10,4.3503
2012-02-11,4.3503
2012-02-12,4.3503
2012-02-13,4.347
2012-02-14,4.3483
2012-02-15,4.3509
2012-02-16,4.3586
2012-02-17,4.3537
2012-02-18,4.3537
2012-02-19,4.3537
2012-02-20,4.3523
2012-02-21,4.3552
2012-02-22,4.3587
2012-02-23,4.3573
2012-02-24,4.3529
2012-02-25,4.3529
2012-02-26,4.3529
2012-02-27,4.3507
2012-02-28,4.3484
2012-02-29,4.3541
2012-03-01,4.3476
2012-03-02,4.349
2012-03-03,4.349
2012-03-04,4.349
2012-03-05,4.3502
2012-03-06,4.3545
2012-03-07,4.356
2012-03-08,4.3572
2012-03-09,4.3565
2012-03-10,4.3565
2012-03-11,4.3565
2012-03-12,4.3578
2012-03-13,4.3623
2012-03-14,4.3699
2012-03-15,4.3825
2012-03-16,4.3825
2012-03-17,4.3825
2012-03-18,4.3825
2012-03-19,4.3803
